DEF,iCE40-HX1K-TQ144
KEYWORDS,"Fpga,Lattice,iCE40",
FOOT,lqfp50p2200x2200x140-144,,
PIN,IOL_1A,L,1
PIN,IOL_1B,L,2
PIN,IOL_2A,L,3
PIN,IOL_2B,L,4
PIN,IOL_3A,L,7
PIN,IOL_3B,L,8
PIN,IOL_4A,L,9
PIN,IOL_4B,L,10
PIN,IOL_5A,L,11
PIN,IOL_5B,L,12
PIN,IOL_6A,L,19
PIN,IOL_6B_GBIN7,L,20
PIN,IOL_7A_GBIN6,L,21
PIN,IOL_7B,L,22
PIN,IOL_8A,L,23
PIN,IOL_8B,L,24
PIN,IOL_9A,L,25
PIN,IOL_9B,L,26
PIN,IOL_10A,L,28
PIN,IOL_10B,L,29
PIN,IOL_11A,L,31
PIN,IOL_11B,L,32
PIN,IOL_12A,L,33
PIN,IOL_12B,L,34
PIN,GNDPLL,R,35
PIN,VCCPLL,R,36
PIN,IOB_24,L,37
PIN,IOB_25,L,38
PIN,IOB_26,L,39
PIN,IOB_27,L,41
PIN,IOB_28,L,42
PIN,IOB_29,L,43
PIN,IOB_30,L,44
PIN,IOB_31,L,45
PIN,IOB_32,L,47
PIN,IOB_33,L,48
PIN,IOB_35_GBIN5,L,49
PIN,IOB_36_GBIN4,L,50
PIN,IOB_34,L,52
PIN,IOB_37,L,56
PIN,IOB_38,L,58
PIN,IOB_39,L,60
PIN,IOB_40,L,61
PIN,IOB_41,L,62
PIN,IOB_42_CBSEL0,L,63
PIN,IOB_43_CBSEL1,L,64
PIN,CDONE,R,65
PIN,CRESET_B,R,66
PIN,IOB_44_SDO,L,67
PIN,IOB_45_SDI,L,68
PIN,IOB_46_SCK,L,70
PIN,IOB_47_SS,L,71
PIN,VCC_SPI,R,72
PIN,IOR_48,L,73
PIN,IOR_49,L,74
PIN,IOR_50,L,75
PIN,IOR_51,L,76
PIN,NC,U,77
PIN,IOR_52,L,78
PIN,IOR_53,L,79
PIN,IOR_54,L,80
PIN,IOR_55,L,81
PIN,IOR_56,L,87
PIN,IOR_57,L,88
PIN,IOR_58,L,90
PIN,IOR_59,L,91
PIN,IOR_60_GBIN3,L,93
PIN,IOR_61_GBIN2,L,94
PIN,IOR_62,L,95
PIN,IOR_63,L,96
PIN,IOR_64,L,97
PIN,IOR_65,L,98
PIN,IOR_66,L,99
PIN,IOR_67,L,101
PIN,IOR_68,L,102
PIN,IOR_69,L,104
PIN,IOR_70,L,105
PIN,IOR_71,L,106
PIN,IOR_72,L,107
PIN,VPP_2V5,R,108
PIN,VPP_FAST,R,109
PIN,IOT_73,L,112
PIN,IOT_74,L,113
PIN,IOT_75,L,114
PIN,IOT_76,L,115
PIN,IOT_77,L,116
PIN,IOT_78,L,117
PIN,IOT_79,L,118
PIN,IOT_80,L,119
PIN,IOT_81,L,120
PIN,IOT_82,L,121
PIN,IOT_83,L,122
PIN,IOT_84_GBIN1,L,128
PIN,IOT_85_GBIN0,L,129
PIN,IOT_87,L,134
PIN,IOT_88,L,135
PIN,IOT_89,L,136
PIN,IOT_90,L,137
PIN,IOT_91,L,138
PIN,IOT_92,L,139
PIN,IOT_93,L,141
PIN,IOT_94,L,142
PIN,IOT_95,L,143
PIN,IOT_96,L,144
PIN,GND,R,5
PIN,GND,R,13
PIN,GND,R,14
PIN,GND,R,59
PIN,GND,R,69
PIN,GND,R,86
PIN,GND,R,103
PIN,GND,R,132
PIN,GND,R,140
PIN,VCC,R,27
PIN,VCC,R,51
PIN,VCC,R,92
PIN,VCC,R,111
PIN,VCCIO_0,R,133
PIN,VCCIO_0,R,123
PIN,VCCIO_1,R,100
PIN,VCCIO_1,R,89
PIN,VCCIO_2,R,46
PIN,VCCIO_2,R,57
PIN,VCCIO_3,R,6
PIN,VCCIO_3,R,30
PIN,NC,U,15
PIN,NC,U,16
PIN,NC,U,17
PIN,NC,U,18
PIN,NC,U,40
PIN,NC,U,53
PIN,NC,U,54
PIN,NC,U,55
PIN,NC,U,82
PIN,NC,U,83
PIN,NC,U,84
PIN,NC,U,85
PIN,NC,U,110
PIN,NC,U,124
PIN,NC,U,125
PIN,NC,U,126
PIN,NC,U,127
PIN,NC,U,130
PIN,NC,U,131
